panel,point_id,total_rank_0_1,concentration_rank_0_1,spearman_rho,data_status
weak,1,0.0,0.5833333333333334,0.19985775248933144,illustrative
weak,2,0.027777777777777776,0.08333333333333333,0.19985775248933144,illustrative
weak,3,0.05555555555555555,0.75,0.19985775248933144,illustrative
weak,4,0.08333333333333333,0.1111111111111111,0.19985775248933144,illustrative
weak,5,0.1111111111111111,0.4166666666666667,0.19985775248933144,illustrative
weak,6,0.1388888888888889,0.0,0.19985775248933144,illustrative
weak,7,0.16666666666666666,0.1388888888888889,0.19985775248933144,illustrative
weak,8,0.19444444444444442,0.3611111111111111,0.19985775248933144,illustrative
weak,9,0.2222222222222222,0.3888888888888889,0.19985775248933144,illustrative
weak,10,0.25,0.6944444444444444,0.19985775248933144,illustrative
weak,11,0.2777777777777778,0.4722222222222222,0.19985775248933144,illustrative
weak,12,0.3055555555555555,0.6388888888888888,0.19985775248933144,illustrative
weak,13,0.3333333333333333,0.19444444444444445,0.19985775248933144,illustrative
weak,14,0.3611111111111111,0.5277777777777778,0.19985775248933144,illustrative
weak,15,0.38888888888888884,0.2222222222222222,0.19985775248933144,illustrative
weak,16,0.41666666666666663,0.5,0.19985775248933144,illustrative
weak,17,0.4444444444444444,0.3333333333333333,0.19985775248933144,illustrative
weak,18,0.4722222222222222,0.8611111111111112,0.19985775248933144,illustrative
weak,19,0.5,0.6666666666666666,0.19985775248933144,illustrative
weak,20,0.5277777777777778,0.9722222222222222,0.19985775248933144,illustrative
weak,21,0.5555555555555556,1.0,0.19985775248933144,illustrative
weak,22,0.5833333333333333,0.9166666666666666,0.19985775248933144,illustrative
weak,23,0.611111111111111,0.6111111111111112,0.19985775248933144,illustrative
weak,24,0.6388888888888888,0.4444444444444444,0.19985775248933144,illustrative
weak,25,0.6666666666666666,0.9444444444444444,0.19985775248933144,illustrative
weak,26,0.6944444444444444,0.05555555555555555,0.19985775248933144,illustrative
weak,27,0.7222222222222222,0.7777777777777778,0.19985775248933144,illustrative
weak,28,0.75,0.3055555555555556,0.19985775248933144,illustrative
weak,29,0.7777777777777777,0.8055555555555556,0.19985775248933144,illustrative
weak,30,0.8055555555555555,0.5555555555555556,0.19985775248933144,illustrative
weak,31,0.8333333333333333,0.8333333333333334,0.19985775248933144,illustrative
weak,32,0.861111111111111,0.027777777777777776,0.19985775248933144,illustrative
weak,33,0.8888888888888888,0.16666666666666666,0.19985775248933144,illustrative
weak,34,0.9166666666666666,0.7222222222222222,0.19985775248933144,illustrative
weak,35,0.9444444444444444,0.8888888888888888,0.19985775248933144,illustrative
weak,36,0.9722222222222222,0.25,0.19985775248933144,illustrative
weak,37,1.0,0.2777777777777778,0.19985775248933144,illustrative
moderate,1,0.0,0.2222222222222222,0.49976292081555257,illustrative
moderate,2,0.027777777777777776,0.6388888888888888,0.49976292081555257,illustrative
moderate,3,0.05555555555555555,0.1111111111111111,0.49976292081555257,illustrative
moderate,4,0.08333333333333333,0.19444444444444445,0.49976292081555257,illustrative
moderate,5,0.1111111111111111,0.5277777777777778,0.49976292081555257,illustrative
moderate,6,0.1388888888888889,0.1388888888888889,0.49976292081555257,illustrative
moderate,7,0.16666666666666666,0.05555555555555555,0.49976292081555257,illustrative
moderate,8,0.19444444444444442,0.3888888888888889,0.49976292081555257,illustrative
moderate,9,0.2222222222222222,0.2777777777777778,0.49976292081555257,illustrative
moderate,10,0.25,0.6666666666666666,0.49976292081555257,illustrative
moderate,11,0.2777777777777778,0.3333333333333333,0.49976292081555257,illustrative
moderate,12,0.3055555555555555,0.5,0.49976292081555257,illustrative
moderate,13,0.3333333333333333,0.25,0.49976292081555257,illustrative
moderate,14,0.3611111111111111,0.3055555555555556,0.49976292081555257,illustrative
moderate,15,0.38888888888888884,0.027777777777777776,0.49976292081555257,illustrative
moderate,16,0.41666666666666663,0.4722222222222222,0.49976292081555257,illustrative
moderate,17,0.4444444444444444,0.6111111111111112,0.49976292081555257,illustrative
moderate,18,0.4722222222222222,0.16666666666666666,0.49976292081555257,illustrative
moderate,19,0.5,0.9166666666666666,0.49976292081555257,illustrative
moderate,20,0.5277777777777778,0.5555555555555556,0.49976292081555257,illustrative
moderate,21,0.5555555555555556,0.4166666666666667,0.49976292081555257,illustrative
moderate,22,0.5833333333333333,0.9722222222222222,0.49976292081555257,illustrative
moderate,23,0.611111111111111,0.5833333333333334,0.49976292081555257,illustrative
moderate,24,0.6388888888888888,0.9444444444444444,0.49976292081555257,illustrative
moderate,25,0.6666666666666666,0.8333333333333334,0.49976292081555257,illustrative
moderate,26,0.6944444444444444,0.08333333333333333,0.49976292081555257,illustrative
moderate,27,0.7222222222222222,0.8055555555555556,0.49976292081555257,illustrative
moderate,28,0.75,1.0,0.49976292081555257,illustrative
moderate,29,0.7777777777777777,0.4444444444444444,0.49976292081555257,illustrative
moderate,30,0.8055555555555555,0.6944444444444444,0.49976292081555257,illustrative
moderate,31,0.8333333333333333,0.3611111111111111,0.49976292081555257,illustrative
moderate,32,0.861111111111111,0.0,0.49976292081555257,illustrative
moderate,33,0.8888888888888888,0.75,0.49976292081555257,illustrative
moderate,34,0.9166666666666666,0.7222222222222222,0.49976292081555257,illustrative
moderate,35,0.9444444444444444,0.8611111111111112,0.49976292081555257,illustrative
moderate,36,0.9722222222222222,0.7777777777777778,0.49976292081555257,illustrative
moderate,37,1.0,0.8888888888888888,0.49976292081555257,illustrative
strong,1989,0.3888888888888889,0.6111111111111112,0.8198198198198199,real data
strong,1990,0.6388888888888888,0.8888888888888888,0.8198198198198199,real data
strong,1991,0.5,0.4444444444444444,0.8198198198198199,real data
strong,1992,0.4444444444444444,0.5277777777777778,0.8198198198198199,real data
strong,1993,0.4166666666666667,0.1111111111111111,0.8198198198198199,real data
strong,1994,1.0,1.0,0.8198198198198199,real data
strong,1995,0.3333333333333333,0.4166666666666667,0.8198198198198199,real data
strong,1996,0.5277777777777778,0.6666666666666666,0.8198198198198199,real data
strong,1997,0.3611111111111111,0.2777777777777778,0.8198198198198199,real data
strong,1998,0.3055555555555556,0.19444444444444445,0.8198198198198199,real data
strong,1999,0.6666666666666666,0.4722222222222222,0.8198198198198199,real data
strong,2000,0.6111111111111112,0.8055555555555556,0.8198198198198199,real data
strong,2001,0.1388888888888889,0.0,0.8198198198198199,real data
strong,2002,0.2222222222222222,0.1388888888888889,0.8198198198198199,real data
strong,2003,0.19444444444444445,0.16666666666666666,0.8198198198198199,real data
strong,2004,0.1111111111111111,0.3888888888888889,0.8198198198198199,real data
strong,2005,0.0,0.027777777777777776,0.8198198198198199,real data
strong,2006,0.027777777777777776,0.05555555555555555,0.8198198198198199,real data
strong,2007,0.05555555555555555,0.3611111111111111,0.8198198198198199,real data
strong,2008,0.16666666666666666,0.3055555555555556,0.8198198198198199,real data
strong,2009,0.2777777777777778,0.2222222222222222,0.8198198198198199,real data
strong,2010,0.08333333333333333,0.25,0.8198198198198199,real data
strong,2011,0.25,0.08333333333333333,0.8198198198198199,real data
strong,2012,0.5833333333333334,0.9444444444444444,0.8198198198198199,real data
strong,2013,0.75,0.9722222222222222,0.8198198198198199,real data
strong,2014,0.8333333333333334,0.8333333333333334,0.8198198198198199,real data
strong,2015,0.8055555555555556,0.7222222222222222,0.8198198198198199,real data
strong,2016,0.7777777777777778,0.75,0.8198198198198199,real data
strong,2017,0.7222222222222222,0.5555555555555556,0.8198198198198199,real data
strong,2018,0.5555555555555556,0.5,0.8198198198198199,real data
strong,2019,0.4722222222222222,0.6388888888888888,0.8198198198198199,real data
strong,2020,0.6944444444444444,0.3333333333333333,0.8198198198198199,real data
strong,2021,0.9166666666666666,0.9166666666666666,0.8198198198198199,real data
strong,2022,0.9722222222222222,0.8611111111111112,0.8198198198198199,real data
strong,2023,0.8611111111111112,0.6944444444444444,0.8198198198198199,real data
strong,2024,0.8888888888888888,0.7777777777777778,0.8198198198198199,real data
strong,2025,0.9444444444444444,0.5833333333333334,0.8198198198198199,real data
perfect,1,0.0,0.0,1.0,illustrative
perfect,2,0.027777777777777776,0.027777777777777776,1.0,illustrative
perfect,3,0.05555555555555555,0.05555555555555555,1.0,illustrative
perfect,4,0.08333333333333333,0.08333333333333333,1.0,illustrative
perfect,5,0.1111111111111111,0.1111111111111111,1.0,illustrative
perfect,6,0.1388888888888889,0.1388888888888889,1.0,illustrative
perfect,7,0.16666666666666666,0.16666666666666666,1.0,illustrative
perfect,8,0.19444444444444442,0.19444444444444442,1.0,illustrative
perfect,9,0.2222222222222222,0.2222222222222222,1.0,illustrative
perfect,10,0.25,0.25,1.0,illustrative
perfect,11,0.2777777777777778,0.2777777777777778,1.0,illustrative
perfect,12,0.3055555555555555,0.3055555555555555,1.0,illustrative
perfect,13,0.3333333333333333,0.3333333333333333,1.0,illustrative
perfect,14,0.3611111111111111,0.3611111111111111,1.0,illustrative
perfect,15,0.38888888888888884,0.38888888888888884,1.0,illustrative
perfect,16,0.41666666666666663,0.41666666666666663,1.0,illustrative
perfect,17,0.4444444444444444,0.4444444444444444,1.0,illustrative
perfect,18,0.4722222222222222,0.4722222222222222,1.0,illustrative
perfect,19,0.5,0.5,1.0,illustrative
perfect,20,0.5277777777777778,0.5277777777777778,1.0,illustrative
perfect,21,0.5555555555555556,0.5555555555555556,1.0,illustrative
perfect,22,0.5833333333333333,0.5833333333333333,1.0,illustrative
perfect,23,0.611111111111111,0.611111111111111,1.0,illustrative
perfect,24,0.6388888888888888,0.6388888888888888,1.0,illustrative
perfect,25,0.6666666666666666,0.6666666666666666,1.0,illustrative
perfect,26,0.6944444444444444,0.6944444444444444,1.0,illustrative
perfect,27,0.7222222222222222,0.7222222222222222,1.0,illustrative
perfect,28,0.75,0.75,1.0,illustrative
perfect,29,0.7777777777777777,0.7777777777777777,1.0,illustrative
perfect,30,0.8055555555555555,0.8055555555555555,1.0,illustrative
perfect,31,0.8333333333333333,0.8333333333333333,1.0,illustrative
perfect,32,0.861111111111111,0.861111111111111,1.0,illustrative
perfect,33,0.8888888888888888,0.8888888888888888,1.0,illustrative
perfect,34,0.9166666666666666,0.9166666666666666,1.0,illustrative
perfect,35,0.9444444444444444,0.9444444444444444,1.0,illustrative
perfect,36,0.9722222222222222,0.9722222222222222,1.0,illustrative
perfect,37,1.0,1.0,1.0,illustrative
